Country,ISO,Region,Year,FreedomScore,FreedomStatus
Afghanistan,AFG,Asia-Pacific,2023,,NA
Albania,ALB,Europe,2023,65.3,Mostly Free
Algeria,DZA,Middle East and North Africa,2023,43.2,Moderately Free
Angola,AGO,Sub-Saharan Africa,2023,53,Moderately Free
Argentina,ARG,Americas,2023,51,Moderately Free
Armenia,ARM,Europe,2023,65.1,Mostly Free
Australia,AUS,Asia-Pacific,2023,74.8,Mostly Free
Austria,AUT,Europe,2023,71.1,Mostly Free
Azerbaijan,AZE,Europe,2023,61.4,Mostly Free
Bahrain,BHR,Middle East and North Africa,2023,62.5,Mostly Free
Bangladesh,BGD,Asia-Pacific,2023,54.4,Moderately Free
Barbados,BRB,Americas,2023,69.8,Mostly Free
Belarus,BLR,Europe,2023,51,Moderately Free
Belgium,BEL,Europe,2023,67.1,Mostly Free
Belize,BLZ,Americas,2023,59.8,Moderately Free
Benin,BEN,Sub-Saharan Africa,2023,59.8,Moderately Free
Bhutan,BTN,Asia-Pacific,2023,59,Moderately Free
Bolivia,BOL,Americas,2023,43.4,Moderately Free
Bosnia and Herzegovina,BIH,Europe,2023,62.9,Mostly Free
Botswana,BWA,Sub-Saharan Africa,2023,64.9,Mostly Free
Brazil,BRA,Americas,2023,53.5,Moderately Free
Brunei Darussalam,BRN,Asia-Pacific,2023,65.7,Mostly Free
Bulgaria,BGR,Europe,2023,69.3,Mostly Free
Burkina Faso,BFA,Sub-Saharan Africa,2023,56.2,Moderately Free
Burma,MMR,Asia-Pacific,2023,46.5,Moderately Free
Burundi,BDI,Sub-Saharan Africa,2023,41.9,Moderately Free
Cabo Verde,CPV,Sub-Saharan Africa,2023,65.8,Mostly Free
Cambodia,KHM,Asia-Pacific,2023,56.5,Moderately Free
Cameroon,CMR,Sub-Saharan Africa,2023,51.9,Moderately Free
Canada,CAN,Americas,2023,73.7,Mostly Free
Central African Republic,CAF,Sub-Saharan Africa,2023,43.8,Moderately Free
Chad,TCD,Sub-Saharan Africa,2023,52,Moderately Free
Chile,CHL,Americas,2023,71.1,Mostly Free
China,CHN,Asia-Pacific,2023,48.3,Moderately Free
Colombia,COL,Americas,2023,63.1,Mostly Free
Comoros,COM,Sub-Saharan Africa,2023,53.5,Moderately Free
Costa Rica,CRI,Americas,2023,66.5,Mostly Free
Côte d'Ivoire,CIV,Sub-Saharan Africa,2023,60.4,Mostly Free
Croatia,HRV,Europe,2023,66.4,Mostly Free
Cuba,CUB,Americas,2023,24.3,Mostly Unfree
Cyprus,CYP,Europe,2023,72.3,Mostly Free
Czech Republic,CZE,Europe,2023,71.9,Mostly Free
Democratic Republic of Congo,COD,Sub-Saharan Africa,2023,47.9,Moderately Free
Denmark,DNK,Europe,2023,77.6,Mostly Free
Djibouti,DJI,Sub-Saharan Africa,2023,56.1,Moderately Free
Dominica,DMA,Americas,2023,59.7,Moderately Free
Dominican Republic,DOM,Americas,2023,62.6,Mostly Free
Ecuador,ECU,Americas,2023,55,Moderately Free
Egypt,EGY,Middle East and North Africa,2023,49.6,Moderately Free
El Salvador,SLV,Americas,2023,56,Moderately Free
Equatorial Guinea,GNQ,Sub-Saharan Africa,2023,48.3,Moderately Free
Eritrea,ERI,Sub-Saharan Africa,2023,39.5,Mostly Unfree
Estonia,EST,Europe,2023,78.6,Mostly Free
Eswatini,SWZ,Sub-Saharan Africa,2023,54.9,Moderately Free
Ethiopia,ETH,Sub-Saharan Africa,2023,48.3,Moderately Free
Fiji,FJI,Asia-Pacific,2023,58,Moderately Free
Finland,FIN,Europe,2023,77.1,Mostly Free
France,FRA,Europe,2023,63.6,Mostly Free
Gabon,GAB,Sub-Saharan Africa,2023,56.1,Moderately Free
Georgia,GEO,Europe,2023,68.7,Mostly Free
Germany,DEU,Europe,2023,73.7,Mostly Free
Ghana,GHA,Sub-Saharan Africa,2023,58,Moderately Free
Greece,GRC,Europe,2023,56.9,Moderately Free
Guatemala,GTM,Americas,2023,62.7,Mostly Free
Guinea,GIN,Sub-Saharan Africa,2023,53.2,Moderately Free
Guinea-Bissau,GNB,Sub-Saharan Africa,2023,44.6,Moderately Free
Guyana,GUY,Americas,2023,56.9,Moderately Free
